2026-05-08 13:41:35 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-8configs:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 1 for shard 2 (1 batches)
2026-05-08 13:41:35 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-1] Reusing existing inference engine (config hash: b2e2162d)
2026-05-08 13:41:45 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 4 completed shard 2 (1 batches, 11.21s)
2026-05-08 13:41:45 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-8configs:Controller] Scheduling pipeline 6 (Pipeline 6) on actor 0 for shard 2 (1 batches)
2026-05-08 13:41:45 | QueryProcessingActor-0 | INFO | query_actor.py:142 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-0] Cleaning up old inference engine (hash: 6e98d1e9)
2026-05-08 13:41:46 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-0] Initializing new inference engine (config hash: b2e2162d)
2026-05-08 13:41:51 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 5 completed shard 2 (1 batches, 15.19s)
2026-05-08 13:41:51 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-8configs:Controller] Scheduling pipeline 7 (Pipeline 7) on actor 1 for shard 2 (1 batches)
2026-05-08 13:41:51 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-1] Reusing existing inference engine (config hash: b2e2162d)
2026-05-08 13:41:58 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 6 completed shard 2 (1 batches, 11.70s)
2026-05-08 13:41:58 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-8configs:Controller] Scheduling pipeline 8 (Pipeline 8) on actor 0 for shard 2 (1 batches)
2026-05-08 13:41:58 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-0] Reusing existing inference engine (config hash: b2e2162d)
2026-05-08 13:42:04 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 7 completed shard 2 (1 batches, 12.75s)
2026-05-08 13:42:04 | Controller | INFO | controller.py:1422 | [discussion1-rag-docs-tuning-8configs:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 1 for shard 3 (1 batches)
2026-05-08 13:42:04 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [discussion1-rag-docs-tuning-8configs:QueryProcessingActor-1] Reusing existing inference engine (config hash: b2e2162d)
2026-05-08 13:42:09 | Controller | INFO | controller.py:1299 | [discussion1-rag-docs-tuning-8configs:Controller] Pipeline 8 completed shard 2 (1 batches, 11.71s)
